App,Category,Rating,Reviews,Installs,Type,Content Rating,Genres,Last Updated
final fantasy xv  a new empire,game,4.0,484981,10000000,Free,everyone    ,strategy,2018-06-15
girls  frontline,game,4.2,2055,100000,Free,teen,strategy,2018-05-18
chapters  interactive stories,game,4.5,73539,1000000,Free,mature    ,role playing,2018-08-02
honkai impact  rd,game,4.7,59017,1000000,Free,teen,action,2018-07-03
master of eternity moe ,game,4.2,5829,100000,Free,teen,strategy,2018-07-26
the game of life,game,4.4,18621,100000,Paid,everyone,board,2018-07-04
clue,game,4.6,19922,100000,Paid,everyone    ,board,2018-07-30
the room  old sins,game,4.9,21119,100000,Paid,everyone,puzzle,2018-04-18
the escapists,game,4.4,7412,100000,Paid,teen,strategy,2018-04-26
farming simulator   ,game,4.5,18125,100000,Paid,everyone,education,2018-07-09
rollercoaster tycoon  classic,game,4.6,10795,100000,Paid,everyone,simulation,2017-12-21
call of duty black ops zombies,game,4.2,13004,100000,Paid,teen,action,2016-12-20
star wars    dirty,game,4.5,38207,100000,Paid,teen,role playing,2015-10-19
monument valley  ,game,4.6,9394,100000,Paid,everyone,puzzle,2017-11-30
dragon ball legends,game,4.6,337913,5000000,Free,teen,action,2018-08-03
roblox,game,4.5,4449882,100000000,Free,everyone    ,adventure,2018-07-31
candy crush saga,game,4.4,22429716,500000000,Free,everyone,casual,2018-07-05
angry birds  ,game,4.6,3883589,100000000,Free,everyone,casual,2018-07-26
  ball pool,game,4.5,14200550,100000000,Free,everyone,sports,2018-07-31
fallout shelter,game,4.6,2719142,10000000,Free,teen,simulation,2018-06-11
harry potter  hogwarts mystery,game,4.4,1107197,10000000,Free,teen,adventure,2018-08-01
pubg mobile,game,4.4,3716278,50000000,Free,teen,action,2018-07-24
the sims  freeplay,game,4.3,931595,10000000,Free,teen,simulation,2018-07-16
marvel strike force,game,4.3,165928,5000000,Free,teen,role playing,2018-07-31
best fiends   free puzzle game,game,4.6,1480189,10000000,Free,everyone,casual,2018-08-02
marvel contest of champions,game,4.3,2468063,50000000,Free,teen,action,2018-07-30
jurassic world  alive,game,4.3,309176,5000000,Free,everyone    ,simulation,2018-08-02
choices  stories you play,game,4.6,807338,10000000,Free,teen,simulation,2018-07-30
solitaire tripeaks,game,4.5,446434,10000000,Free,everyone,card,2018-08-01
merge dragons ,game,4.5,214819,5000000,Free,everyone,puzzle,2018-07-30
the walking dead  road to survival,game,4.2,522466,10000000,Free,mature    ,role playing,2018-06-19
hustle castle  fantasy kingdom,game,4.7,584126,10000000,Free,everyone    ,role playing,2018-07-27
might   magic  elemental guardians,game,4.3,32551,500000,Free,mature    ,role playing,2018-07-12
game of thrones  conquest ,game,4.0,90218,1000000,Free,teen,strategy,2018-08-03
love nikki dress up queen,game,4.4,212524,5000000,Free,everyone,role playing,2018-07-24
summoners war,game,4.3,2045554,50000000,Free,teen,role playing,2018-07-30
final fantasy brave exvius,game,4.6,745684,5000000,Free,teen,role playing,2018-07-17
idle heroes,game,4.7,416540,10000000,Free,everyone    ,role playing,2018-05-30
fate grand order  english ,game,4.4,16601,500000,Free,teen,role playing,2018-07-26
lords mobile  battle of the empires   strategy rpg,game,4.4,3057481,50000000,Free,teen,strategy,2018-07-26
war and order,game,4.3,224514,5000000,Free,teen,strategy,2018-07-18
dungeon hunter champions  epic online action rpg,game,4.2,26247,1000000,Free,teen,role playing,2018-07-26
candy crush saga,game,4.4,22430188,500000000,Free,everyone,casual,2018-07-05
roblox,game,4.5,4449910,100000000,Free,everyone    ,adventure,2018-07-31
  ball pool,game,4.5,14201891,100000000,Free,everyone,sports,2018-07-31
subway surfers,game,4.5,27725352,1000000000,Free,everyone    ,arcade,2018-07-12
candy crush soda saga,game,4.4,6199095,100000000,Free,everyone,casual,2018-07-10
zombie hunter king,game,4.3,10493,1000000,Free,mature    ,action,2018-08-01
bubble shooter,game,4.5,148945,10000000,Free,everyone,casual,2018-07-17
toon blast,game,4.7,1351771,10000000,Free,everyone,puzzle,2018-07-30
toy blast,game,4.7,1889582,50000000,Free,everyone,puzzle,2018-07-23
clash royale,game,4.6,23136735,100000000,Free,everyone    ,strategy,2018-06-27
clash of clans,game,4.6,44893888,100000000,Free,everyone    ,strategy,2018-07-15
farm heroes saga,game,4.4,7614415,100000000,Free,everyone,casual,2018-07-26
plants vs  zombies free,game,4.4,4067651,100000000,Free,everyone    ,strategy,2018-07-06
word search,game,4.7,295576,10000000,Free,everyone,education,2018-06-06
block puzzle,game,4.6,59907,5000000,Free,everyone,puzzle,2018-03-06
super jim jump   pixel  d,game,4.5,10460,1000000,Free,everyone,arcade,2018-07-11
pou,game,4.3,10486018,500000000,Free,everyone,casual,2018-05-25
temple run  ,game,4.3,8119151,500000000,Free,everyone,action,2018-07-05
flow free,game,4.3,1295625,100000000,Free,everyone,puzzle,2018-04-11
homescapes,game,4.6,3093932,10000000,Free,everyone,casual,2018-07-13
wordscapes,game,4.8,230849,10000000,Free,everyone,education,2018-08-02
my talking angela,game,4.5,9883367,100000000,Free,everyone,casual,2018-07-03
slither io,game,4.4,5235294,100000000,Free,everyone,action,2017-11-14
cooking fever,game,4.5,3198176,100000000,Free,everyone,arcade,2018-07-12
yes day,game,4.5,10055521,100000000,Free,everyone,casual,2018-06-28
gardenscapes,game,4.6,4129665,50000000,Free,everyone,casual,2018-07-13
fishdom,game,4.6,2158580,10000000,Free,everyone,puzzle,2018-07-19
galaxy attack  alien shooter,game,4.6,506593,10000000,Free,everyone,arcade,2018-08-01
score  hero,game,4.6,5419676,100000000,Free,everyone,sports,2018-06-13
zombie catchers,game,4.7,990723,10000000,Free,everyone,action,2018-05-24
magic tiles  ,game,4.5,592504,50000000,Free,everyone,music,2018-08-03
jewels star  oz adventure,game,4.5,21892,1000000,Free,everyone,puzzle,2017-12-29
granny,game,4.5,1138239,50000000,Free,teen,arcade,2018-05-29
dream league soccer     ,game,4.6,9883806,100000000,Free,everyone,sports,2018-07-16
sweet fruit candy,game,4.5,197540,10000000,Free,everyone,puzzle,2018-07-16
fruits bomb,game,4.4,74695,10000000,Free,everyone,casual,2018-07-06
angry birds classic,game,4.4,5566889,100000000,Free,everyone,arcade,2018-05-24
talking tom gold run,game,4.6,2698882,100000000,Free,everyone,action,2018-07-31
bowmasters,game,4.7,1535973,50000000,Free,teen,action,2018-07-23
my talking tom,game,4.5,14892469,500000000,Free,everyone,casual,2018-07-19
hill climb racing,game,4.4,8923818,100000000,Free,everyone,racing,2018-07-02
sniper  d gun shooter  free shooting games   fps,game,4.6,7674252,100000000,Free,mature    ,action,2018-08-02
pixel art  color by number game,game,4.7,1125438,10000000,Free,everyone,puzzle,2018-07-17
shoot bubble   fruit splash,game,4.6,29445,5000000,Free,everyone,casual,2018-05-11
rider,game,4.5,655145,10000000,Free,teen,arcade,2017-07-17
zombie tsunami,game,4.4,4921451,100000000,Free,everyone    ,arcade,2018-06-15
garena free fire,game,4.5,5476569,100000000,Free,teen,action,2018-08-03
doodle jump,game,4.3,1083571,50000000,Free,everyone,arcade,2018-07-20
helix jump,game,4.2,1500999,100000000,Free,everyone,action,2018-04-09
crossy road,game,4.5,4230886,100000000,Free,everyone,action,2018-08-01
temple run  ,game,4.3,8119154,500000000,Free,everyone,action,2018-07-05
talking tom gold run,game,4.6,2698889,100000000,Free,everyone,action,2018-07-31
zombie catchers,game,4.7,990663,10000000,Free,everyone,action,2018-05-24
swamp attack,game,4.4,2119218,50000000,Free,everyone    ,action,2018-06-29
earn to die  ,game,4.6,1327265,50000000,Free,teen,racing,2017-04-12
miraculous ladybug   cat noir   the official game,game,4.5,184210,10000000,Free,everyone,action,2018-07-30
kick the buddy,game,4.3,1003269,50000000,Free,teen,action,2018-07-05
hungry shark world,game,4.5,1242855,50000000,Free,teen,action,2018-07-18
dude perfect  ,game,4.5,401425,10000000,Free,everyone,action,2017-04-12
shadow fight  ,game,4.6,10979062,100000000,Free,everyone    ,action,2018-07-02
alto s adventure,game,4.6,515657,10000000,Free,everyone,action,2018-06-05
deer hunter     ,game,4.3,955656,10000000,Free,teen,action,2018-06-26
dead target  fps zombie apocalypse survival games,game,4.5,1468591,50000000,Free,mature    ,action,2018-07-23
cover fire  offline shooting games for free,game,4.7,725897,10000000,Free,teen,action,2018-08-03
anger of stick     zombie,game,4.5,549039,50000000,Free,teen,action,2018-08-03
cats  crash arena turbo stars,game,4.7,1559650,50000000,Free,everyone,action,2018-07-09
soul knight,game,4.7,292164,10000000,Free,everyone    ,action,2018-08-01
major mayhem,game,4.6,520962,10000000,Free,teen,action,2017-06-28
dino hunter  deadly shores,game,4.4,1381820,10000000,Free,teen,action,2017-03-14
strawberry shortcake berryrush,game,4.3,525517,10000000,Free,everyone,adventure,2017-10-15
extreme match,game,4.5,696,100000,Free,everyone,action,2018-07-05
power rangers dino charge,game,4.3,194969,10000000,Free,everyone    ,action,2018-01-29
zombie hunter  post apocalypse survival games,game,4.4,327599,10000000,Free,teen,action,2017-07-28
agar io,game,4.2,3816799,100000000,Free,everyone,action,2018-07-23
zombie hunter king,game,4.3,10538,1000000,Free,mature    ,action,2018-08-01
battlelands royale,game,4.4,105620,1000000,Free,everyone    ,action,2018-07-16
once upon a tower,game,4.7,37139,1000000,Free,everyone    ,action,2018-01-24
tekken ,game,4.2,147791,5000000,Free,teen,action,2018-07-26
diep io,game,4.1,347883,10000000,Free,everyone,action,2018-03-16
arrow io,game,4.5,343263,10000000,Free,everyone    ,action,2018-08-06
beyblade burst app,game,4.5,216849,10000000,Free,everyone,adventure,2018-07-16
dragon hills,game,4.5,354373,10000000,Free,everyone    ,action,2017-10-12
bus rush  subway edition,game,4.1,753043,100000000,Free,teen,action,2018-08-01
dc super hero girls ,game,4.3,43055,5000000,Free,everyone,adventure,2018-06-29
tiny archers,game,4.5,80678,5000000,Free,mature    ,action,2018-05-25
metal soldiers  ,game,4.4,153381,10000000,Free,teen,action,2018-06-18
runner  d like,game,4.5,559,100000,Free,everyone    ,action,2018-08-03
war robots,game,4.6,3073251,50000000,Free,everyone    ,action,2018-07-25
dinosaur simulator  dino world,game,4.0,26649,5000000,Free,teen,action,2018-08-05
gunship battle  helicopter  d,game,4.3,2151039,50000000,Free,teen,action,2018-08-01
quiz  logo game,game,4.5,306764,10000000,Free,everyone,education,2018-08-03
helix jump,game,4.2,1500622,100000000,Free,everyone,action,2018-04-09
  ball pool,game,4.5,14201604,100000000,Free,everyone,sports,2018-07-31
jewels legend   match   puzzle,game,4.6,280098,10000000,Free,everyone,arcade,2018-07-20
bubble shooter,game,4.5,148990,10000000,Free,everyone,casual,2018-07-17
solitaire,game,4.7,154264,10000000,Free,everyone,card,2018-06-08
bubble shooter genies,game,4.5,26985,5000000,Free,everyone,casual,2018-06-04
blossom blast saga,game,4.5,1125438,10000000,Free,everyone,casual,2018-07-05
traffic racer,game,4.5,5387781,100000000,Free,everyone,racing,2018-02-27
hill climb racing,game,4.4,8923847,100000000,Free,everyone,racing,2018-07-02
earn to die  ,game,4.6,1327269,50000000,Free,teen,racing,2017-04-12
bubble shooter  ,game,4.3,23043,5000000,Free,everyone,arcade,2018-07-25
candy bomb,game,4.4,42145,10000000,Free,everyone,education,2018-07-04
zombie catchers,game,4.7,990796,10000000,Free,everyone,action,2018-05-24
gems or jewels  ,game,4.7,171448,10000000,Free,teen,puzzle,2018-08-03
angry birds rio,game,4.4,2610680,100000000,Free,everyone,arcade,2018-07-03
candy crush jelly saga,game,4.3,1300619,50000000,Free,everyone,puzzle,2018-07-20
cut the rope full free,game,4.4,2123793,100000000,Free,everyone,puzzle,2018-07-05
hungry shark evolution,game,4.5,6074627,100000000,Free,teen,arcade,2018-07-25
power pop bubbles,game,4.4,104303,10000000,Free,everyone,arcade,2018-08-02
angry birds classic,game,4.4,5566908,100000000,Free,everyone,arcade,2018-05-24
best fiends   free puzzle game,game,4.6,1480182,10000000,Free,everyone,casual,2018-08-02
hill climb racing  ,game,4.6,2750645,100000000,Free,everyone,racing,2018-08-02
jewels classic prince,game,4.4,47644,5000000,Free,everyone,puzzle,2018-06-15
fruit block   puzzle legend,game,4.6,125647,10000000,Free,everyone,casual,2018-07-23
bubble shooter space,game,4.2,4355,1000000,Free,everyone,casual,2017-07-17
swamp attack,game,4.4,2119235,50000000,Free,everyone    ,action,2018-06-29
 line   one line with one touch,game,4.6,214878,10000000,Free,everyone,board,2018-08-03
stick war  legacy,game,4.6,811040,10000000,Free,teen,strategy,2018-05-10
bowmasters,game,4.7,1536349,50000000,Free,teen,action,2018-07-23
block puzzle classic legend  ,game,4.2,17044,5000000,Free,everyone,puzzle,2018-04-13
marble woka woka        bubble shooter match  ,game,4.6,155186,10000000,Free,everyone,puzzle,2018-08-03
pixel art  color by number game,game,4.7,1125566,10000000,Free,everyone,puzzle,2018-07-17
super jabber jump  ,game,4.3,34494,5000000,Free,everyone    ,arcade,2018-07-11
rush,game,4.6,260651,10000000,Free,everyone,arcade,2018-02-14
jetpack joyride,game,4.4,4638163,100000000,Free,everyone    ,arcade,2018-07-19
zombie tsunami,game,4.4,4921409,100000000,Free,everyone    ,arcade,2018-06-15
dead target  fps zombie apocalypse survival games,game,4.5,1468638,50000000,Free,mature    ,action,2018-07-23
word search,game,4.2,344585,50000000,Free,everyone,education,2018-07-02
farm heroes saga,game,4.4,7614407,100000000,Free,everyone,casual,2018-07-26
racing in car  ,game,4.3,234110,50000000,Free,everyone,racing,2016-11-22
dog run   pet dog simulator,game,4.7,48615,10000000,Free,everyone,adventure,2018-05-22
rope hero return of a legend,game,4.3,9951,1000000,Free,mature    ,arcade,2016-08-26
draw a stickman  epic   free,game,4.3,213340,10000000,Free,everyone,adventure,2018-06-14
agar io,game,4.2,3815614,100000000,Free,everyone,action,2018-07-23
angry birds classic,game,4.4,5565856,100000000,Free,everyone,arcade,2018-05-24
uno     friends,game,4.1,1728557,50000000,Free,everyone,card,2017-09-20
  in a row,game,3.8,4257,500000,Free,everyone,board,2018-05-13
bubble shooter,game,4.5,43576,5000000,Free,everyone,arcade,2017-09-13
subway surfers,game,4.5,27711703,1000000000,Free,everyone    ,arcade,2018-07-12
super mario run,game,3.7,1221896,100000000,Free,everyone,action,2018-07-12
stardom  the a list,game,4.5,152658,1000000,Free,teen,adventure,2014-09-12
glow hockey,game,4.1,1703479,100000000,Free,everyone,arcade,2018-07-22
pok mon go,game,4.1,10421284,100000000,Free,everyone,adventure,2018-07-23
asphalt    airborne,game,4.5,8389714,100000000,Free,teen,racing,2018-07-04
pac man,game,4.2,685450,100000000,Free,everyone,arcade,2018-05-15
lep s world     ,game,4.3,798522,100000000,Free,everyone    ,arcade,2018-06-07
law of creation  a playable manga,game,4.5,13118,500000,Free,teen,adventure,2018-06-25
real city car driver,game,3.7,413609,10000000,Free,mature    ,racing,2018-08-01
rolling sky,game,4.5,1117212,50000000,Free,everyone,board,2018-08-03
  in a row,game,4.3,47698,5000000,Free,everyone,board,2016-04-12
four in a line free,game,4.3,133195,5000000,Free,everyone,board,2018-06-11
alto s adventure,game,4.6,515240,10000000,Free,everyone,action,2018-06-05
draw a stickman,game,3.4,29265,1000000,Free,everyone,adventure,2017-05-19
